"Part";"Value";"Device";"Package";"Description";"DESIGNER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD-ID";"PROD_ID";"SUPPLIER";"VALUE";"VERSION";
"Q2";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"FAIRCHILD SEMICONDUCTOR";"FDN360P";"";"58K1466";"";"";"";"";"";"";
"R1";"0.33";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"unknown";"";"";"";"";"";"";
"R2";"470k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW0805470KJNEA";"";"28K0214";"";"";"";"";"";"";
"R3";"470k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW0805470KJNEA";"";"28K0214";"";"";"";"";"";"";
"R4";"470k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW0805470KJNEA";"";"28K0214";"";"";"";"";"";"";
"R5";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW08054K70JNEA";"";"01H7096";"";"";"";"";"";"";
"R6";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"unknown";"";"";"";"";"";"";
"R7";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"unknown";"";"";"";"";"";"";
"R8";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"ERJ-6ENF1001V";"";"64R5369";"";"";"";"";"";"";
"R9";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW08054K70JNEA";"";"01H7096";"";"";"";"";"";"";
"R10";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW08054K70JNEA";"";"01H7096";"";"";"";"";"";"";
"R11";"100K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"ERA-6AEB104V";"";"08N2143";"";"";"";"";"";"";
"R12";"2K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"unknown";"";"";"";"";"";"";
"R13";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"ERJ-6ENF1001V";"";"64R5369";"";"";"";"";"";"";
"R14";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"ERJ-6ENF1001V";"";"64R5369";"";"";"";"";"";"";
"R15";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW08054K70JNEA";"";"01H7096";"";"";"";"";"";"";
"R16";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW08054K70JNEA";"";"01H7096";"";"";"";"";"";"";
"SW1";"";"SW_DIP-1";"EDG-01";"DIP SWITCH";"";"";"";"";"unknown";"";"";"";"";"";"";
"U1";"ELECTRONDUALROW";"ELECTRONDUALROW";"ELECTRON_DUAL-ROW";"";"";"";"";"";"unknown";"";"";"";"";"";"";
"U2";"ASH7K-OSCILLATOR";"ASH7K-OSCILLATOR";"SMD-4PAD";"";"";"";"";"";"unknown";"";"";"";"";"";"";
"U3";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"";"MCP73831T-2DCI/OT";"";"84R6271";"";"";"IC-09995";"";"";"";
"U4";"MAX1704X";"MAX1704X";"TDFN-8";"MAX17043/MAX17044: Battery Fuel Guage (43 is 1cell, 44 is 2cell)";"";"";"";"";"unknown";"";"IC-10399";"";"";"";"";
"U5";"MS5540CSMD";"MS5540CSMD";"SMD-HYBRID";"";"";"";"";"";"unknown";"";"";"";"";"";"";
"U6";"MICROSD";"MICROSD";"MICROSD";"Micro-SD / Transflash card holder with SPI pinout";"";"";"2908-05WB-MG";"";"28M0115";"";"";"";"";"";"";
"U7";"HM-11";"HM-11";"HM-11";"";"";"";"";"";"unknown";"";"";"";"";"";"";
"U8";"ADS1115IDGST";"ADS1115IDGST";"SOP50P490X110-10N";"Analog-to-Digital Converter with Internal Reference";"";"";"ADS1115IDGST";"1762981";"25R1241";"MSOP-10";"";"";"Texas Instruments";"";"";
"U9";"ADS1115IDGST";"ADS1115IDGST";"SOP50P490X110-10N";"Analog-to-Digital Converter with Internal Reference";"";"";"ADS1115IDGST";"1762981";"25R1241";"MSOP-10";"";"";"Texas Instruments";"";"";
